tconst	averageRating	numVotes
tt0017325	7.0	23
tt0017328	6.7	62
tt0017354	6.3	228
tt0017358	3.0	21
tt0017366	6.2	25
tt0017367	7.4	29
tt0017374	6.2	225
tt0017399	5.7	39
tt0017421	6.2	34
tt0017433	5.5	44
tt0017523	5.1	16
tt0017534	6.6	2008
tt0017554	5.9	31
tt0017568	6.2	15
tt0017667	7.0	948
tt0017703	5.3	56
tt0017707	5.3	20
tt0017739	7.0	3590
tt0017772	5.8	23
tt0017802	4.5	36
tt0017825	6.0	3267
tt0017850	7.6	141
tt0017859	6.2	26
tt0017891	5.8	22
tt0017921	3.4	21
tt0017930	7.0	72
tt0017935	7.2	28
tt0017962	4.9	28
tt0018022	6.3	19
tt0018024	5.8	17
tt0018097	6.7	1521
tt0018118	6.2	78
tt0018155	8.0	9
tt0018179	6.4	733
tt0018194	5.5	29
tt0018200	4.7	13
tt0018275	7.6	9
tt0018295	6.2	63
tt0018318	5.8	24
tt0018343	5.4	18
tt0018348	5.8	13
tt0018361	6.0	19
tt0018383	7.0	13
tt0018397	6.9	760
tt0018450	6.8	13
tt0018457	5.9	66
tt0018471	7.1	1688
tt0018503	6.5	64
tt0018519	6.3	55
tt0018526	7.5	3677
tt0018531	6.6	19
tt0018543	6.8	58
tt0018549	5.4	21
tt0018600	6.1	176
tt0018621	6.6	58
tt0018630	5.3	21
tt0018666	5.2	96
tt0018671	5.2	23
tt0018673	7.2	115
tt0018678	6.5	534
tt0018692	4.0	26
tt0018693	5.2	23
tt0018800	5.8	14
tt0018806	8.1	9606
tt0018830	4.4	14
tt0018831	5.2	23
tt0018851	6.5	75
tt0018880	5.2	22
tt0018908	7.0	360
tt0018979	2.3	27
tt0019004	6.9	16
tt0019057	5.8	41
tt0019109	7.7	2778
tt0019179	5.0	35
tt0019181	4.9	17
tt0019195	7.2	1502
tt0019205	5.8	29
tt0019217	6.5	93
tt0019226	6.4	37
tt0019273	7.1	11
tt0019312	6.2	182
tt0019327	6.2	18
tt0019332	6.6	94
tt0019347	4.0	16
tt0019380	6.7	23
tt0019400	6.3	1087
tt0019403	7.5	945
tt0019431	6.4	35
tt0019459	6.2	23
tt0019473	5.2	36
tt0019474	3.7	53
tt0019489	7.0	508
tt0019496	3.2	32
tt0019522	6.7	15
tt0019543	5.3	54
tt0019550	4.2	21
tt0019554	6.4	155
tt0019596	5.6	58
tt0019630	5.7	1015
tt0019690	5.4	335
tt0019722	6.9	109
tt0019726	6.0	239
tt0019730	5.9	25
tt0019732	5.7	25
tt0019735	6.3	1387
tt0019785	6.4	628
tt0019788	5.5	2377
tt0019824	6.1	988
tt0019849	6.7	98
tt0019864	6.9	30
tt0019886	6.5	381
tt0019918	6.3	57
tt0019933	5.7	836
tt0019939	6.3	148
tt0019943	6.2	49
tt0019952	7.6	94
tt0019959	6.7	2117
tt0019993	5.7	2392
tt0020007	6.4	352
tt0020012	5.3	14
tt0020019	7.0	16
tt0020081	6.0	613
tt0020109	5.3	166
tt0020113	6.4	18
tt0020136	6.6	49
tt0020150	7.0	23
tt0020159	7.5	31
tt0020163	7.3	3708
tt0020209	6.7	41
tt0020213	5.7	20
tt0020215	6.5	16
tt0020232	7.3	551
tt0020262	5.4	14
tt0020267	5.0	166
tt0020269	7.1	1936
tt0020288	6.3	22
tt0020334	5.2	50
tt0020349	5.0	36
tt0020357	6.3	39
tt0020395	4.4	24
tt0020405	6.9	295
tt0020410	6.7	729
tt0020471	7.2	58
tt0020475	7.8	4991
tt0020490	5.8	210
tt0020502	6.1	264
tt0020515	6.5	19
tt0020527	7.4	14
tt0020564	6.8	33
tt0020603	5.5	93
tt0020605	7.0	11
tt0020620	5.7	1790
tt0020629	8.1	69734
tt0020645	6.4	177
tt0020648	8.0	21
tt0020655	6.4	33
tt0020656	7.3	613
tt0020662	7.0	42
tt0020663	6.0	57
tt0020672	5.0	105
tt0020688	7.0	25
tt0020693	6.0	477
tt0020694	5.4	90
tt0020757	6.7	88
tt0020763	5.5	201
tt0020810	5.5	161
tt0020821	6.6	858
tt0020828	5.3	446
tt0020884	5.7	53
tt0020900	6.0	370
tt0020914	6.5	31
tt0020922	5.8	115
tt0020933	6.8	44
tt0020955	6.0	48
tt0020956	5.5	78
tt0020968	7.0	73
tt0021003	7.1	41
tt0021033	7.0	52
tt0021040	6.7	1727
tt0021067	6.3	53
tt0021069	5.4	218
tt0021125	6.6	135
tt0021141	5.3	160
tt0021169	7.8	9
tt0021212	7.3	27
tt0021230	6.2	18
tt0021246	7.0	35
tt0021289	5.7	44
tt0021327	5.3	160
tt0021334	5.8	124
tt0021337	5.6	193
tt0021342	5.4	95
tt0021371	6.1	417
tt0021392	4.0	35
tt0021393	5.2	60
tt0021407	6.6	24
tt0021473	8.2	14
tt0021500	4.2	62
tt0021506	6.0	17
tt0021517	6.6	15
tt0021529	6.4	25
tt0021545	5.6	71
tt0021548	6.2	10
tt0021555	4.7	70
tt0021570	8.8	8
tt0021581	6.7	36
tt0021589	6.5	42
tt0021618	6.7	50
tt0021650	5.9	33
tt0021659	5.8	221
tt0021661	6.0	140
tt0021662	4.7	52
tt0021669	6.6	30
tt0021680	6.9	141
tt0021732	6.4	289
tt0021750	7.0	1986
tt0021758	5.5	147
tt0021795	6.4	55
tt0021796	5.0	212
tt0021819	7.8	17
tt0021852	5.9	13
tt0021861	5.7	754
tt0021862	5.8	26
tt0021886	5.9	92
tt0021900	4.9	222
tt0021928	5.9	158
tt0021952	5.9	230
tt0021973	5.7	242
tt0022028	5.4	147
tt0022053	5.4	34
tt0022062	5.5	22
tt0022094	6.8	29
tt0022100	8.3	176074
tt0022117	6.9	430
tt0022134	5.7	360
tt0022169	7.2	28
tt0022178	6.4	226
